Период,Алг и матанализ,Биол.,Вер и Стат,Геогр.,Геом.,Англ.яз,Инф.,Ист.,Лит-ра,Обществ.,ОБиЗР,Практ. по обществ.,Рус.яз.,Совр. литерат,Физика,Физ-ра,Химия
1 Полугодие,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
2 Полугодие,4.0,4.0,5.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0
Год,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
1 Полугодие,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,5.0,4.0,5.0,5.0
Средняя оценка,4.0,4.0,4.5,5.0,3.75,5.0,5.0,4.0,5.0,4.25,5.0,5.0,4.0,5.0,4.0,4.8,4.25
1 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Год,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0
Средняя оценка,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0
2 Полугодие,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
Год,4.0,4.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
1 Полугодие,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,,3.0,5.0,4.0,4.0,4.0
Средняя оценка,3.5,4.0,4.5,4.75,3.0,4.25,4.0,4.0,4.75,4.0,5.0,5.0,3.75,5.0,3.75,4.0,4.5
1 Полугодие,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Год,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1 Полугодие,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0
Средняя оценка,5.0,4.75,4.75,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1 Полугодие,4.0,5.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
2 Полугодие,4.0,4.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
Год,4.0,5.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
1 Полугодие,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,,4.0,5.0,5.0,5.0,4.0
Средняя оценка,3.75,4.75,4.5,5.0,3.25,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.5,5.0,4.25,4.8,4.5
1 Полугодие,4.0,5.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
2 Полугодие,4.0,4.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
Год,4.0,5.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
1 Полугодие,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,,4.0,5.0,5.0,5.0,4.0
Средняя оценка,4.0,4.5,4.5,5.0,3.25,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.5,5.0,4.25,4.8,4.75
1 Полугодие,3.0,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0
2 Полугодие,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0
Год,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0
1 Полугодие,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,4.0,4.0,4.0
Средняя оценка,3.25,3.75,3.25,4.75,3.0,4.25,5.0,4.25,4.0,3.75,4.75,5.0,3.25,5.0,4.0,4.0,4.5
1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0
2 Полугодие,3.0,3.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0
Год,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
1 Полугодие,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,,3.0,5.0,3.0,5.0,3.0
Средняя оценка,3.0,3.75,3.0,3.25,3.0,4.0,5.0,3.75,3.5,3.5,5.0,5.0,3.5,5.0,3.5,4.8,3.75
1 Полугодие,3.0,4.0,4.0,4.0,3.0,4.0,,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0
2 Полугодие,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
Год,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,,3.0,5.0,3.0,4.0,4.0
Средняя оценка,3.0,4.0,3.25,3.5,3.0,4.0,5.0,3.5,3.5,4.0,5.0,5.0,3.75,5.0,3.75,4.4,4.0
1 Полугодие,3.0,4.0,3.0,5.0,3.0,3.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0
2 Полугодие,3.0,4.0,4.0,5.0,4.0,4.0,,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0
Год,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0
1 Полугодие,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,5.0,3.0,4.0,4.0
Средняя оценка,3.0,4.0,3.25,4.75,3.25,3.75,4.0,4.0,3.75,4.0,4.75,5.0,3.5,5.0,3.0,4.2,4.75
1 Полугодие,4.0,5.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
2 Полугодие,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
