Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Общее кол-во 4 за 1 полугодие,Общее кол-во 3 за 1 полугодие,Общее кол-во 2 за 1 полугодие,Общее кол-во У за 1 полугодие,Общее кол-во Б за 1 полугодие,Общее кол-во Н за 1 полугодие,Общее кол-во 5 за 2 полугодие,Общее кол-во 4 за 2 полугодие,Общее кол-во 3 за 2 полугодие,Общее кол-во 2 за 2 полугодие,Общее кол-во У за 2 полугодие,Общее кол-во Б за 2 полугодие,Общее кол-во Н за 2 полугодие,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученик 1_11A,4.294117647058823,4.204081632653061,4.641025641025641,4.454545454545454,4.555555555555555,4.516129032258065,4.304347826086956,4.208333333333333,4.379741640245842,4.5087433474530245,4.256340579710145,127,97,15,6,29,17,0,76,63,12,2,18,1,0,51,34,3,4,11,16,0,5.8,3.4,0.0,1
Ученица 2_11A,4.777777777777778,4.804347826086956,4.956521739130435,4.9393939393939394,4.928571428571429,5.0,4.982758620689655,4.769230769230769,4.8462157809983895,4.955988455988456,4.875994694960212,209,14,4,1,112,0,8,123,11,3,1,53,0,5,86,3,1,0,59,0,3,18.666666666666668,0.0,1.3333333333333333,1
Ученица 3_11A,4.166666666666667,3.6555555555555554,3.7972972972972974,4.052631578947368,3.96875,4.068965517241379,3.857142857142857,3.6818181818181817,3.8731731731731736,4.030115698729582,3.7694805194805197,68,82,59,17,31,34,8,40,45,31,13,26,34,5,28,37,28,4,5,0,3,4.428571428571429,4.857142857142857,1.1428571428571428,0
Ученик 4_11A,4.285714285714286,4.648936170212766,4.878378378378378,4.714285714285714,4.827586206896552,4.75,5.0,4.666666666666667,4.604342944768477,4.763957307060756,4.833333333333334,166,35,4,2,102,0,4,89,24,3,1,102,0,1,77,11,1,1,0,0,3,20.4,0.0,0.8,1
Ученица 5_11A,4.257142857142857,4.25,4.346153846153846,4.1875,4.405405405405405,4.0,4.055555555555555,4.181818181818182,4.284432234432234,4.197635135135135,4.1186868686868685,104,104,35,6,46,0,4,64,65,15,5,17,0,2,40,39,20,1,29,0,2,6.571428571428571,0.0,0.5714285714285714,1
Ученица 6_11A,4.193548387096774,4.288888888888889,4.527777777777778,4.294117647058823,4.314285714285714,4.310344827586207,4.357142857142857,4.0,4.336738351254481,4.306249396310249,4.178571428571429,108,112,23,4,39,0,3,66,64,14,2,16,0,2,42,48,9,2,23,0,1,6.5,0.0,0.5,1
Ученик 7_11A,4.193548387096774,3.90625,4.2317073170731705,4.181818181818182,4.151515151515151,4.238095238095238,4.1923076923076925,3.7916666666666665,4.1105019013899815,4.19047619047619,3.9919871794871797,85,106,47,4,27,23,1,54,63,31,3,10,0,1,31,43,16,1,17,23,0,4.5,3.8333333333333335,0.16666666666666666,0
Ученик 8_11A,3.8620689655172415,3.6354166666666665,3.4047619047619047,3.625,3.657142857142857,3.5,3.6666666666666665,3.75,3.634082512315271,3.5940476190476187,3.708333333333333,53,68,91,26,23,0,7,32,41,62,13,1,0,4,21,27,29,13,22,0,3,5.75,0.0,1.75,0
Ученик 9_11A,3.689655172413793,3.5408163265306123,3.9473684210526314,3.764705882352941,4.037037037037037,3.4814814814814814,3.7916666666666665,3.357142857142857,3.7259466399990124,3.7610748002904866,3.574404761904762,38,72,54,20,18,120,9,22,42,39,10,7,83,5,16,30,15,10,11,37,4,2.25,15.0,1.125,0
Ученик 10_11A,3.6842105263157894,3.4767441860465116,3.272727272727273,3.7857142857142856,4.0,3.8076923076923075,3.9,3.1666666666666665,3.477893995029858,3.8644688644688645,3.533333333333333,41,63,67,25,57,120,8,21,37,48,16,31,81,6,20,26,19,9,26,39,2,7.125,15.0,1.0,0
