Средний балл,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный
3.807017543859649,2.111111111111111,20.33333333333333,2.555555555555556,0
3.6,2.111111111111111,20.33333333333333,2.555555555555556,0
3.852941176470588,2.111111111111111,20.33333333333333,2.555555555555556,0
3.6666666666666665,2.111111111111111,20.33333333333333,2.555555555555556,0
3.902439024390244,2.111111111111111,20.33333333333333,2.555555555555556,0
3.8392857142857135,2.111111111111111,20.33333333333333,2.555555555555556,0
3.8,2.111111111111111,20.33333333333333,2.555555555555556,0
3.83,2.111111111111111,20.33333333333333,2.555555555555556,0
3.86,2.111111111111111,20.33333333333333,2.555555555555556,0
3.382978723404255,4.888888888888889,13.77777777777778,2.888888888888889,0
3.212121212121212,4.888888888888889,13.77777777777778,2.888888888888889,0
3.4838709677419355,4.888888888888889,13.77777777777778,2.888888888888889,0
3.316666666666667,4.888888888888889,13.77777777777778,2.888888888888889,0
3.342857142857143,4.888888888888889,13.77777777777778,2.888888888888889,0
3.3,4.888888888888889,13.77777777777778,2.888888888888889,0
3.15,4.888888888888889,13.77777777777778,2.888888888888889,0
3.261904761904762,4.888888888888889,13.77777777777778,2.888888888888889,0
3.304878048780488,4.888888888888889,13.77777777777778,2.888888888888889,0
2.9655172413793105,3.25,7.25,1.125,0
2.9722222222222223,3.25,7.25,1.125,0
3.0853658536585367,3.25,7.25,1.125,0
3.1666666666666665,3.25,7.25,1.125,0
3.15,3.25,7.25,1.125,0
3.048076923076923,3.25,7.25,1.125,0
3.08974358974359,3.25,7.25,1.125,0
3.108695652173913,3.25,7.25,1.125,0
3.317073170731707,3.25,7.25,1.125,0
3.842592592592593,11.5,3.375,1.0,0
3.702702702702703,11.5,3.375,1.0,0
3.6463414634146334,11.5,3.375,1.0,0
3.576923076923077,11.5,3.375,1.0,0
3.566666666666667,11.5,3.375,1.0,0
3.518181818181818,11.5,3.375,1.0,0
3.75,11.5,3.375,1.0,0
3.525,11.5,3.375,1.0,0
4.015151515151516,11.5,3.375,1.0,0
3.298245614035088,11.5,8.125,1.5,0
3.076923076923077,11.5,8.125,1.5,0
3.160377358490566,11.5,8.125,1.5,0
3.35,11.5,8.125,1.5,0
3.2222222222222223,11.5,8.125,1.5,0
3.163636363636364,11.5,8.125,1.5,0
3.1041666666666665,11.5,8.125,1.5,0
3.238805970149253,11.5,8.125,1.5,0
3.4,11.5,8.125,1.5,0
4.068965517241379,3.6,5.6,0.8,1
4.093023255813954,3.6,5.6,0.8,1
4.088235294117647,3.6,5.6,0.8,1
4.056818181818182,3.6,5.6,0.8,1
4.076923076923077,3.6,5.6,0.8,1
3.845454545454545,3.6,5.6,0.8,1
3.926470588235294,3.6,5.6,0.8,1
3.9130434782608696,3.6,5.6,0.8,1
3.934210526315789,3.6,5.6,0.8,1
3.3548387096774195,5.875,9.125,1.5,0
3.1707317073170733,5.875,9.125,1.5,0
3.56,5.875,9.125,1.5,0
3.548387096774193,5.875,9.125,1.5,0
3.5121951219512195,5.875,9.125,1.5,0
3.486111111111111,5.875,9.125,1.5,0
3.103448275862069,5.875,9.125,1.5,0
3.5625,5.875,9.125,1.5,0
3.5694444444444446,5.875,9.125,1.5,0
3.8181818181818175,14.88888888888889,14.444444444444445,3.291666666666667,0
3.686046511627907,14.88888888888889,14.444444444444445,3.291666666666667,0
3.75,14.88888888888889,14.444444444444445,3.291666666666667,0
3.642857142857143,14.88888888888889,14.444444444444445,3.291666666666667,0
3.65,14.88888888888889,14.444444444444445,3.291666666666667,0
3.310810810810811,14.88888888888889,14.444444444444445,3.291666666666667,0
3.446428571428572,14.88888888888889,14.444444444444445,3.291666666666667,0
3.6,14.88888888888889,14.444444444444445,3.291666666666667,0
3.533333333333333,14.88888888888889,14.444444444444445,3.291666666666667,0
3.8620689655172415,11.142857142857142,0.0,0.2857142857142857,1
