ID,Класс,Период,Алг и матанализ,Биол.,Вер и Стат,Геогр.,Геом.,Англ.яз,Инф.,Ист.,Лит-ра,Обществ.,ОБиЗР,Практ. по матем.,Практ. по обществ.,Рус.яз.,Совр. литерат,Физика,Физ-ра,Фин.гр.,Химия
1,10.0,1 Полугодие,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
1,10.0,2 Полугодие,4.0,4.0,5.0,5.0,3.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,4.0
1,10.0,Год,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,,4.0
1,11.0,1 Полугодие,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,,4.0,5.0,4.0,5.0,,5.0
1,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
1,11.0,Год,,,,,,,,,,,,,,,,,,,
1,,Средняя оценка,4.0,4.0,4.5,5.0,3.75,5.0,5.0,4.0,5.0,4.25,5.0,0.0,5.0,4.0,5.0,4.0,4.8,0.0,4.25
1,,Итог. оценка,,,,,,,,,,,,,,,,,,,
2,10.0,1 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
2,10.0,2 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
2,10.0,Год,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
2,11.0,1 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,5.0
2,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
2,11.0,Год,,,,,,,,,,,,,,,,,,,
2,,Средняя оценка,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0
2,,Итог. оценка,,,,,,,,,,,,,,,,,,,
3,10.0,1 Полугодие,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,3.0,4.0,,4.0
3,10.0,2 Полугодие,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
3,10.0,Год,4.0,4.0,5.0,5.0,3.0,4.0,,4.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,,5.0
3,11.0,1 Полугодие,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,,,3.0,5.0,4.0,4.0,,4.0
3,11.0,2 Полугодие,,,,,,,,,,,,,,,,,4.0,,
3,11.0,Год,,,,,,,,,,,,,,,,,,,
3,,Средняя оценка,3.5,4.0,4.5,4.75,3.0,4.25,4.0,4.0,4.75,4.0,5.0,0.0,5.0,3.75,5.0,3.75,4.0,0.0,4.5
3,,Итог. оценка,,,,,,,,,,,,,,,,,,,
4,10.0,1 Полугодие,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
4,10.0,2 Полугодие,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
4,10.0,Год,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0
4,11.0,1 Полугодие,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,5.0
4,11.0,2 Полугодие,,,,,,,,,,,,,,,,,5.0,,
4,11.0,Год,,,,,,,,,,,,,,,,,,,
