Ученик,Средний балл за Сентябрь,Средний балл за Октябрь,Средний балл за Ноябрь,Средний балл за Декабрь,Средний балл за Январь,Средний балл за Февраль,Средний балл за Март,Средний балл за Апрель,Средний балл за Май,Средний балл за 3 месяца (Сентябрь-Октябрь-Ноябрь),Средний балл за 3 месяца (Декабрь-Январь-Февраль),Средний балл за 3 месяца (Март-Апрель-Май),Общее кол-во 5 за год,Общее кол-во 4 за год,Общее кол-во 3 за год,Общее кол-во 2 за год,Общее кол-во У за год,Общее кол-во Б за год,Общее кол-во Н за год,Общее кол-во 5 за 1 полугодие,Среднее кол-во 5 за 1 полугодие (на предмет),Общее кол-во 4 за 1 полугодие,Среднее кол-во 4 за 1 полугодие (на предмет),Общее кол-во 3 за 1 полугодие,Среднее кол-во 3 за 1 полугодие (на предмет),Общее кол-во 2 за 1 полугодие,Среднее кол-во 2 за 1 полугодие (на предмет),Общее кол-во У за 1 полугодие,Среднее кол-во У за 1 полугодие (на предмет),Общее кол-во Б за 1 полугодие,Среднее кол-во Б за 1 полугодие (на предмет),Общее кол-во Н за 1 полугодие,Среднее кол-во Н за 1 полугодие (на предмет),Общее кол-во 5 за 2 полугодие,Среднее кол-во 5 за 2 полугодие (на предмет),Общее кол-во 4 за 2 полугодие,Среднее кол-во 4 за 2 полугодие (на предмет),Общее кол-во 3 за 2 полугодие,Среднее кол-во 3 за 2 полугодие (на предмет),Общее кол-во 2 за 2 полугодие,Среднее кол-во 2 за 2 полугодие (на предмет),Общее кол-во У за 2 полугодие,Среднее кол-во У за 2 полугодие (на предмет),Общее кол-во Б за 2 полугодие,Среднее кол-во Б за 2 полугодие (на предмет),Общее кол-во Н за 2 полугодие,Среднее кол-во Н за 2 полугодие (на предмет),Среднее кол-во 5 в месяц,Среднее кол-во 4 в месяц,Среднее кол-во 3 в месяц,Среднее кол-во 2 в месяц,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный (нет предмета со ср. баллом < 3.5)
Ученик 1,3.7346938775510203,3.4342105263157894,3.2837837837837838,3.573529411764706,3.586206896551724,3.5277777777777777,3.9210526315789473,3.607142857142857,,3.4842293958835313,3.5625046953647357,3.7640977443609023,42,73,89,28,85,153,3,26,1.5294117647058822,47,2.764705882352941,63,3.7058823529411766,19,1.1176470588235294,32,1.8823529411764706,62,3.6470588235294117,3,0.17647058823529413,16,0.9411764705882353,26,1.5294117647058822,26,1.5294117647058822,9,0.5294117647058824,53,3.1176470588235294,91,5.352941176470588,0,0.0,5.25,9.125,11.125,3.5,10.625,19.125,0.375,False
Ученик 2,3.1538461538461537,3.1875,3.049019607843137,3.0,3.0526315789473686,3.1481481481481484,3.3970588235294117,2.8947368421052633,,3.130121920563097,3.066926575698506,3.1458978328173375,19,44,142,54,65,200,11,7,0.4117647058823529,25,1.4705882352941178,86,5.0588235294117645,26,1.5294117647058822,45,2.6470588235294117,148,8.705882352941176,11,0.6470588235294118,12,0.7058823529411765,19,1.1176470588235294,56,3.2941176470588234,28,1.6470588235294117,20,1.1764705882352942,52,3.0588235294117645,0,0.0,2.375,5.5,17.75,6.75,8.125,25.0,1.375,False
Ученик 3,2.956140350877193,2.9537037037037037,3.033333333333333,3.0625,2.892857142857143,3.0098039215686274,3.0694444444444446,2.7045454545454546,,2.981059129304743,2.9883870214752566,2.88699494949495,26,41,179,107,34,2,0,15,0.8823529411764706,27,1.588235294117647,107,6.294117647058823,59,3.4705882352941178,27,1.588235294117647,2,0.11764705882352941,0,0.0,11,0.6470588235294118,14,0.8235294117647058,72,4.235294117647059,48,2.823529411764706,7,0.4117647058823529,0,0.0,0,0.0,3.25,5.125,22.375,13.375,5.666666666666667,0.3333333333333333,0.0,False
Ученица 4,3.8191489361702127,3.8627450980392157,3.8297872340425534,3.731707317073171,3.6285714285714286,3.625,3.2903225806451615,2.8333333333333335,,3.8372270894173273,3.661759581881533,3.0618279569892475,61,112,82,37,76,2,0,40,2.3529411764705883,80,4.705882352941177,53,3.1176470588235294,10,0.5882352941176471,12,0.7058823529411765,2,0.11764705882352941,0,0.0,21,1.2352941176470589,32,1.8823529411764706,29,1.7058823529411764,27,1.588235294117647,64,3.764705882352941,0,0.0,0,0.0,7.625,14.0,10.25,4.625,15.2,0.4,0.0,False
Ученик 5,3.317073170731707,3.201923076923077,3.0508474576271185,3.2291666666666665,2.9069767441860463,3.009433962264151,3.125,2.8333333333333335,,3.1899479017606343,3.0485257910389545,2.979166666666667,26,59,175,75,8,22,10,15,0.8823529411764706,40,2.3529411764705883,108,6.352941176470588,34,2.0,6,0.35294117647058826,4,0.23529411764705882,10,0.5882352941176471,11,0.6470588235294118,19,1.1176470588235294,67,3.9411764705882355,41,2.411764705882353,2,0.11764705882352941,18,1.0588235294117647,0,0.0,3.25,7.375,21.875,9.375,2.0,5.5,2.5,False
Ученица 6,4.428571428571429,4.447916666666667,4.076271186440678,4.204545454545454,4.345238095238095,3.989130434782609,3.8783783783783785,4.090909090909091,,4.317586427226257,4.179637994855386,3.9846437346437344,150,127,54,12,1,0,2,96,5.647058823529412,72,4.235294117647059,29,1.7058823529411764,4,0.23529411764705882,0,0.0,0,0.0,2,0.11764705882352941,54,3.176470588235294,55,3.235294117647059,25,1.4705882352941178,8,0.47058823529411764,1,0.058823529411764705,0,0.0,0,0.0,18.75,15.875,6.75,1.5,0.3333333333333333,0.0,0.6666666666666666,True
Ученик 7,3.7254901960784315,3.574074074074074,3.5425531914893615,3.731707317073171,3.661290322580645,3.3974358974358974,3.5625,3.575,,3.614039153880622,3.5968111790299044,3.56875,50,114,110,31,27,0,1,30,1.7647058823529411,77,4.529411764705882,68,4.0,15,0.8823529411764706,16,0.9411764705882353,0,0.0,1,0.058823529411764705,20,1.1764705882352942,37,2.176470588235294,42,2.4705882352941178,16,0.9411764705882353,11,0.6470588235294118,0,0.0,0,0.0,6.25,14.25,13.75,3.875,5.4,0.0,0.2,False
Ученица 8,3.7023809523809526,3.4857142857142858,3.630952380952381,3.5517241379310347,3.5609756097560976,3.5,3.8703703703703702,3.1785714285714284,,3.6063492063492064,3.5375665825623774,3.5244708994708995,57,69,85,37,100,109,45,32,1.8823529411764706,37,2.176470588235294,55,3.235294117647059,16,0.9411764705882353,44,2.588235294117647,69,4.0588235294117645,45,2.6470588235294117,25,1.4705882352941178,32,1.8823529411764706,30,1.7647058823529411,21,1.2352941176470589,56,3.2941176470588234,40,2.3529411764705883,0,0.0,7.125,8.625,10.625,4.625,12.5,13.625,5.625,False
Ученик 9,4.196428571428571,4.076923076923077,3.93,4.09375,4.2926829268292686,4.011627906976744,4.226190476190476,3.675,,4.067783882783883,4.132686944602004,3.950595238095238,154,101,62,28,46,3,1,85,5.0,66,3.8823529411764706,37,2.176470588235294,14,0.8235294117647058,16,0.9411764705882353,0,0.0,0,0.0,69,4.0588235294117645,35,2.0588235294117645,25,1.4705882352941178,14,0.8235294117647058,30,1.7647058823529411,3,0.17647058823529413,1,0.058823529411764705,19.25,12.625,7.75,3.5,15.333333333333334,1.0,0.3333333333333333,False
Ученица 10,4.0638297872340425,4.127659574468085,4.117647058823529,4.021739130434782,3.8225806451612905,4.119047619047619,3.4722222222222223,3.6923076923076925,,4.103045473508552,3.9877891315478973,3.5822649572649574,92,103,57,17,126,41,2,71,4.176470588235294,73,4.294117647058823,36,2.1176470588235294,9,0.5294117647058824,22,1.2941176470588236,2,0.11764705882352941,2,0.11764705882352941,21,1.2352941176470589,30,1.7647058823529411,21,1.2352941176470589,8,0.47058823529411764,104,6.117647058823529,39,2.2941176470588234,0,0.0,11.5,12.875,7.125,2.125,15.75,5.125,0.25,False
Ученица 11,3.196078431372549,3.5625,3.289473684210526,3.63953488372093,3.1323529411764706,3.242857142857143,2.8,3.0555555555555554,,3.3493507051943587,3.338248322584848,2.9277777777777776,33,78,113,61,37,0,0,21,1.2352941176470589,58,3.411764705882353,76,4.470588235294118,24,1.411764705882353,29,1.7058823529411764,0,0.0,0,0.0,12,0.7058823529411765,20,1.1764705882352942,37,2.176470588235294,37,2.176470588235294,8,0.47058823529411764,0,0.0,0,0.0,4.125,9.75,14.125,7.625,9.25,0.0,0.0,False
Ученик 12,3.764705882352941,3.518867924528302,3.5901639344262297,3.4895833333333335,3.8902439024390243,3.3783783783783785,3.554054054054054,3.217391304347826,,3.6245792471024907,3.5860685380502453,3.3857226792009403,68,94,119,45,14,19,16,39,2.2941176470588234,56,3.2941176470588234,78,4.588235294117647,21,1.2352941176470589,7,0.4117647058823529,0,0.0,16,0.9411764705882353,29,1.7058823529411764,38,2.235294117647059,41,2.411764705882353,24,1.411764705882353,7,0.4117647058823529,19,1.1176470588235294,0,0.0,8.5,11.75,14.875,5.625,7.0,9.5,8.0,False
Ученица 13,4.24,4.108695652173913,4.095744680851064,4.0,3.371794871794872,3.619565217391304,3.6785714285714284,3.857142857142857,,4.1481467776749925,3.6637866963953925,3.767857142857143,109,103,62,38,68,1,11,78,4.588235294117647,62,3.6470588235294117,28,1.6470588235294117,14,0.8235294117647058,47,2.764705882352941,1,0.058823529411764705,11,0.6470588235294118,31,1.8235294117647058,41,2.411764705882353,34,2.0,24,1.411764705882353,21,1.2352941176470589,0,0.0,0,0.0,13.625,12.875,7.75,4.75,11.333333333333334,0.16666666666666666,1.8333333333333333,False
Ученица 14,4.072727272727272,4.145833333333333,3.9107142857142856,4.035714285714286,3.65,3.7023809523809526,3.7972972972972974,3.65,,4.04309163059163,3.796031746031746,3.7236486486486484,101,137,61,34,62,1,2,67,3.9411764705882355,85,5.0,36,2.1176470588235294,12,0.7058823529411765,29,1.7058823529411764,1,0.058823529411764705,2,0.11764705882352941,34,2.0,52,3.0588235294117645,25,1.4705882352941178,22,1.2941176470588236,33,1.9411764705882353,0,0.0,0,0.0,12.625,17.125,7.625,4.25,8.857142857142858,0.14285714285714285,0.2857142857142857,False
Ученик 15,3.6219512195121952,3.736842105263158,3.4361702127659575,3.6904761904761907,3.317073170731707,3.3285714285714287,3.625,3.4166666666666665,,3.5983211791804366,3.445373596593109,3.520833333333333,48,93,97,44,120,24,9,29,1.7058823529411764,61,3.588235294117647,57,3.3529411764705883,19,1.1176470588235294,80,4.705882352941177,0,0.0,9,0.5294117647058824,19,1.1176470588235294,32,1.8823529411764706,40,2.3529411764705883,25,1.4705882352941178,40,2.3529411764705883,24,1.411764705882353,0,0.0,6.0,11.625,12.125,5.5,17.142857142857142,3.4285714285714284,1.2857142857142858,False
Ученица 16,4.072916666666667,4.06,3.7884615384615383,4.022222222222222,4.130434782608695,3.8125,3.671875,3.8260869565217392,,3.973792735042735,3.9883856682769725,3.7489809782608696,100,110,69,25,34,0,2,61,3.588235294117647,78,4.588235294117647,42,2.4705882352941178,11,0.6470588235294118,13,0.7647058823529411,0,0.0,2,0.11764705882352941,39,2.2941176470588234,32,1.8823529411764706,27,1.588235294117647,14,0.8235294117647058,21,1.2352941176470589,0,0.0,0,0.0,12.5,13.75,8.625,3.125,6.8,0.0,0.4,False
Ученик 17,3.457627118644068,3.6354166666666665,3.419642857142857,3.4444444444444446,3.1547619047619047,3.269230769230769,3.5303030303030303,3.3333333333333335,,3.504228880817864,3.289479039479039,3.4318181818181817,53,85,160,48,11,0,5,36,2.1176470588235294,50,2.9411764705882355,95,5.588235294117647,23,1.3529411764705883,6,0.35294117647058826,0,0.0,5,0.29411764705882354,17,1.0,35,2.0588235294117645,65,3.823529411764706,25,1.4705882352941178,5,0.29411764705882354,0,0.0,0,0.0,6.625,10.625,20.0,6.0,2.75,0.0,1.25,False
Ученик 18,3.339622641509434,3.1923076923076925,3.3421052631578947,3.3404255319148937,2.9714285714285715,3.0625,3.111111111111111,2.8,,3.291345198991673,3.1247847011144887,2.9555555555555557,29,65,114,68,76,85,10,22,1.2941176470588236,45,2.6470588235294117,84,4.9411764705882355,35,2.0588235294117645,21,1.2352941176470589,52,3.0588235294117645,8,0.47058823529411764,7,0.4117647058823529,20,1.1764705882352942,30,1.7647058823529411,33,1.9411764705882353,55,3.235294117647059,33,1.9411764705882353,2,0.11764705882352941,3.625,8.125,14.25,8.5,9.5,10.625,1.25,False
Ученик 19,3.8068181818181817,4.0,4.0576923076923075,4.244897959183674,3.875,3.7222222222222223,3.5714285714285716,3.6904761904761907,,3.95483682983683,3.9473733938019655,3.6309523809523814,99,100,72,25,36,0,3,75,4.411764705882353,62,3.6470588235294117,49,2.8823529411764706,10,0.5882352941176471,6,0.35294117647058826,0,0.0,3,0.17647058823529413,24,1.411764705882353,38,2.235294117647059,23,1.3529411764705883,15,0.8823529411764706,30,1.7647058823529411,0,0.0,0,0.0,12.375,12.5,9.0,3.125,6.0,0.0,0.5,False
Ученик 20,3.2906976744186047,3.1578947368421053,3.1486486486486487,3.3055555555555554,2.9642857142857144,3.06,3.0625,2.4615384615384617,,3.19908035330312,3.10994708994709,2.762019230769231,19,49,111,61,99,96,9,11,0.6470588235294118,37,2.176470588235294,78,4.588235294117647,26,1.5294117647058822,59,3.4705882352941178,33,1.9411764705882353,9,0.5294117647058824,8,0.47058823529411764,12,0.7058823529411765,33,1.9411764705882353,35,2.0588235294117645,40,2.3529411764705883,63,3.7058823529411766,0,0.0,2.375,6.125,13.875,7.625,12.375,12.0,1.125,False
Ученица 21,4.166666666666667,3.7837837837837838,3.9523809523809526,4.0476190476190474,4.288461538461538,3.9074074074074074,4.045454545454546,3.411764705882353,,3.9676104676104678,4.081162664495998,3.728609625668449,87,88,52,20,74,73,20,51,3.0,64,3.764705882352941,35,2.0588235294117645,9,0.5294117647058824,36,2.1176470588235294,31,1.8235294117647058,20,1.1764705882352942,36,2.1176470588235294,24,1.411764705882353,17,1.0,11,0.6470588235294118,38,2.235294117647059,42,2.4705882352941178,0,0.0,10.875,11.0,6.5,2.5,9.25,9.125,2.5,False
Ученица 22,4.416666666666667,4.541666666666667,4.267441860465116,4.519607843137255,4.714285714285714,4.482758620689655,4.068181818181818,3.9583333333333335,,4.40859173126615,4.572217392704208,4.013257575757576,153,85,27,3,86,28,15,97,5.705882352941177,62,3.6470588235294117,16,0.9411764705882353,1,0.058823529411764705,21,1.2352941176470589,2,0.11764705882352941,15,0.8823529411764706,56,3.2941176470588234,23,1.3529411764705883,11,0.6470588235294118,2,0.11764705882352941,65,3.823529411764706,26,1.5294117647058822,0,0.0,19.125,10.625,3.375,0.375,12.285714285714286,4.0,2.142857142857143,True
Ученица 23,4.090909090909091,4.0476190476190474,4.13265306122449,3.7857142857142856,3.5714285714285716,3.6951219512195124,3.46875,3.1052631578947367,,4.090393733250876,3.6840882694541235,3.287006578947368,93,111,85,33,17,13,3,65,3.823529411764706,77,4.529411764705882,40,2.3529411764705883,11,0.6470588235294118,7,0.4117647058823529,13,0.7647058823529411,3,0.17647058823529413,28,1.6470588235294117,34,2.0,45,2.6470588235294117,22,1.2941176470588236,10,0.5882352941176471,0,0.0,0,0.0,11.625,13.875,10.625,4.125,3.4,2.6,0.6,False
Ученица 24,3.7788461538461537,4.294117647058823,4.109090909090909,4.102564102564102,3.838709677419355,3.6707317073170733,3.9655172413793105,3.25,,4.060684903331962,3.8706684957668434,3.6077586206896552,106,92,70,31,8,31,8,71,4.176470588235294,56,3.2941176470588234,41,2.411764705882353,11,0.6470588235294118,2,0.11764705882352941,31,1.8235294117647058,8,0.47058823529411764,35,2.0588235294117645,36,2.1176470588235294,29,1.7058823529411764,20,1.1764705882352942,6,0.35294117647058826,0,0.0,0,0.0,13.25,11.5,8.75,3.875,1.6,6.2,1.6,False
Ученица 25,4.153846153846154,4.170212765957447,3.967741935483871,4.175,4.074074074074074,3.9242424242424243,4.092592592592593,4.0,,4.097266951762491,4.057772166105499,4.046296296296296,94,95,47,11,107,26,17,62,3.6470588235294117,57,3.3529411764705883,31,1.8235294117647058,5,0.29411764705882354,53,3.1176470588235294,21,1.2352941176470589,17,1.0,32,1.8823529411764706,38,2.235294117647059,16,0.9411764705882353,6,0.35294117647058826,54,3.176470588235294,5,0.29411764705882354,0,0.0,11.75,11.875,5.875,1.375,13.375,3.25,2.125,False
